Index,		Type,	Type(name),	PhysicalStart,	NumberOfPages,	Attribute
0     3      Boot Services Code        0x0              0x1          0xf
1     7      Conventional Memory       0x1000           0x9f         0xf
2     7      Conventional Memory       0x100000         0x700        0xf
3     10     ACPI Memory NVS           0x800000         0x8          0xf
4     7      Conventional Memory       0x808000         0x8          0xf
5     10     ACPI Memory NVS           0x810000         0xf0         0xf
6     4      Boot Services Data        0x900000         0xb00        0xf
7     7      Conventional Memory       0x1400000        0x3ab36      0xf
8     4      Boot Services Data        0x3bf36000       0x20         0xf
9     7      Conventional Memory       0x3bf56000       0x272e       0xf
10    1      Loader Code               0x3e684000       0xb          0xf
11    7      Conventional Memory       0x3e68f000       0x7          0xf
12    4      Boot Services Data        0x3e696000       0xa          0xf
13    9      ACPI Reclaim Memory       0x3e6a0000       0x1          0xf
14    4      Boot Services Data        0x3e6a1000       0x1ea        0xf
15    3      Boot Services Code        0x3e88b000       0xa8         0xf
16    10     ACPI Memory NVS           0x3e933000       0xe          0xf
17    9      ACPI Reclaim Memory       0x3e941000       0x1          0xf
18    10     ACPI Memory NVS           0x3e942000       0x4          0xf
19    0      Reserved Memory Type      0x3e946000       0x1c         0xf
20    3      Boot Services Code        0x3e962000       0x10a        0xf
21    6      Runtime Services Data     0x3ea6c000       0x5          0x800000000000000f
22    5      Runtime Services Code     0x3ea71000       0x5          0x800000000000000f
23    6      Runtime Services Data     0x3ea76000       0x5          0x800000000000000f
24    5      Runtime Services Code     0x3ea7b000       0x5          0x800000000000000f
25    6      Runtime Services Data     0x3ea80000       0x5          0x800000000000000f
26    5      Runtime Services Code     0x3ea85000       0x7          0x800000000000000f
27    6      Runtime Services Data     0x3ea8c000       0x8f         0x800000000000000f
28    4      Boot Services Data        0x3eb1b000       0x702        0xf
29    7      Conventional Memory       0x3f21d000       0x4          0xf
30    4      Boot Services Data        0x3f221000       0x6          0xf
31    7      Conventional Memory       0x3f227000       0x1          0xf
32    4      Boot Services Data        0x3f228000       0x7f3        0xf
33    7      Conventional Memory       0x3fa1b000       0x1          0xf
34    3      Boot Services Code        0x3fa1c000       0x17f        0xf
35    5      Runtime Services Code     0x3fb9b000       0x30         0x800000000000000f
36    6      Runtime Services Data     0x3fbcb000       0x24         0x800000000000000f
37    0      Reserved Memory Type      0x3fbef000       0x4          0xf
38    9      ACPI Reclaim Memory       0x3fbf3000       0x8          0xf
39    10     ACPI Memory NVS           0x3fbfb000       0x4          0xf
40    4      Boot Services Data        0x3fbff000       0x201        0xf
41    7      Conventional Memory       0x3fe00000       0x8d         0xf
42    4      Boot Services Data        0x3fe8d000       0x20         0xf
43    3      Boot Services Code        0x3fead000       0x20         0xf
44    4      Boot Services Data        0x3fecd000       0x9          0xf
45    3      Boot Services Code        0x3fed6000       0x1e         0xf
46    6      Runtime Services Data     0x3fef4000       0x84         0x800000000000000f
47    10     ACPI Memory NVS           0x3ff78000       0x88         0xf
48    6      Runtime Services Data     0xffc00000       0x400        0x8000000000000001
